"id","slasher_id","slashee_id","relation_tag"
8017,78815,78811,"xsub"
8018,78820,78818,"xsub"
8019,78824,78825,"xsub"
8020,78829,78833,"xsub"
8021,78833,78832,"xsub"
8022,78838,78837,"xsub"
8023,78849,78850,"xsub"
8024,78850,78843,"xsub"
8025,78851,78850,"xsub"
8026,78852,78855,"obj"
8027,78865,78866,"xsub"
8028,78889,78887,"xsub"
8029,79003,79000,"xsub"
8030,79007,79010,"xsub"
8031,79011,79010,"xsub"
8032,79012,78983,"adv"
8033,79026,79023,"xsub"
8034,79052,79046,"comp"
8035,79054,79050,"obj"
8036,79097,79073,"adv"
8037,79098,79073,"adv"
8038,79098,79103,"sub"
8039,79100,79073,"adv"
8040,79117,79118,"xsub"
8041,79119,79113,"xsub"
8042,79139,79142,"xsub"
8043,79143,79137,"xsub"
8044,79144,79146,"xsub"
