"id","title","citation_part","language_tag","author","code","electronic_text_original_url","printed_text_date"
627,"Synopsis scripturae sacrae [Sp.]","Ioh. Chrys. Syn. Scr.","grc","Joannes Chrysostomus","tlg2062.tlg213","http://books.google.com/books?id=IeuHJbhZYeIC&pg=PA309","5th c."
628,"In Genesim (sermo 3) [Sp.]","Ioh. Chrys. Serm. Gn.","grc","Joannes Chrysostomus","tlg2062.tlg216","http://books.google.com/books?id=IeuHJbhZYeIC&pg=PT532","5th c."
629,"De pseudoprophetis [Sp.]","Ioh. Chrys. Pseud.","grc","Joannes Chrysostomus","tlg2062.tlg237","http://stephanus.tlg.uci.edu/Iris/Cite?2062:237:49965","5th c."
630,"In publicanum et pharisaeum [Sp.]","Ioh. Chrys. Hom. Publ. Phar.","grc","Joannes Chrysostomus","tlg2062.tlg245","http://books.google.com/books?id=czuFE42hAXoC&pg=PT597","5th c."
631,"In sanctum pascha (sermo 6) [Sp.]","Ioh. Chrys. Serm. Pasch.","grc","Joannes Chrysostomus","tlg2062.tlg265","http://stephanus.tlg.uci.edu/Iris/Cite?2062:265:21014","5th c."
632,"Eclogae i-xlviii ex diversis homiliis [Sp.]","Ioh. Chrys. Ecl.","grc","Joannes Chrysostomus","tlg2062.tlg338","http://archive.org/stream/PatrologiaGraeca/Patrologia%20Graeca%20Vol.%20063#page/n659/mode/2up","5th c."
633,"In sanguinis fluxu laborantem [Sp.]","Ioh. Chrys. Flux.","grc","Joannes Chrysostomus","tlg2062.tlg356","http://stephanus.tlg.uci.edu/Iris/Cite?2062:356:7692","5th c."
634,"Epistula ad Cyriacum","Ioh. Chrys. Epist. Cyr.","grc","Joannes Chrysostomus","tlg2062.tlg376","http://stephanus.tlg.uci.edu/Iris/Cite?2062:376:66320","5th c."
635,"In annuntiationem sanctae virginis Mariae (homiliae 1-2) [Sp.]","Greg. Thaum. Annunt.","grc","Gregorius Thaumaturgus","tlg2063.tlg009","http://books.google.com/books?id=74S3-ku1oc4C&pg=PT1147","3rd c."
636,"Commentarii in Job","Did. Caec. Comm. Job","grc","Didymus Caecus","tlg2102.tlg002","http://stephanus.tlg.uci.edu/Iris/Cite?2102:002:86973","4th c."
637,"De trinitate (lib. 1) [Sp.]","Did. Caec. Trin.","grc","Didymus Caecus","tlg2102.tlg008","http://stephanus.tlg.uci.edu/Iris/Cite?2102:008:102627","4th c."
638,"Commentarii in Psalmos 29-34","Did. Caec. Comm. Ps.","grc","Didymus Caecus","tlg2102.tlg018","http://stephanus.tlg.uci.edu/Iris/Cite?2102:018","4th c."
639,"Fragmenta in Psalmos (e commentario altero)","Did. Caec. Fr. Ps.","grc","Didymus Caecus","tlg2102.tlg021","http://stephanus.tlg.uci.edu/Iris/Cite?2102:021","4th c."
640,"De trinitate (lib. 2.8-27) [Sp.]","Did. Caec. Trin.","grc","Didymus Caecus","tlg2102.tlg042","http://stephanus.tlg.uci.edu/Iris/Cite?2102:042:57411","4th c."
641,"Sermones 64 (collectio B)","Ps.-Macar. Serm.","grc","Pseudo-Macarius","tlg2109.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2109:001","4th c."
642,"Refutatio omnium haeresium","Hippol. Haer.","grc","Hippolytus","tlg2115.tlg060","http://stephanus.tlg.uci.edu/Iris/Cite?2115:060","3rd c."
643,"Scripta minora (praecipue e cod. Mosq. Hist. Mus. gr. 315)","Areth. Scr. Min.","grc","Arethas","tlg2130.tlg033","http://stephanus.tlg.uci.edu/Iris/Cite?2130:033","c. 800-c. 999"
644,"Fragmenta","Aristod. Fr.","grc","Aristodemus","tlg2148.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2148:001","2nd c."
645,"Epistulae 1-1544","Lib. Ep.","grc","Libanius","tlg2200.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2200:001:458108","4th c."
646,"Orationes 1-64","Lib. Or.","grc","Libanius","tlg2200.tlg004","http://stephanus.tlg.uci.edu/Iris/Cite?2200:004","4th c."
647,"Declamationes 1-51","Lib. Decl.","grc","Libanius","tlg2200.tlg005","http://stephanus.tlg.uci.edu/Iris/Cite?2200:005","4th c."
648,"Progymnasmata","Lib. Comp.","grc","Libanius","tlg2200.tlg006","http://stephanus.tlg.uci.edu/Iris/Cite?2200:006:325185","4th c."
649,"Argumenta orationum Demosthenicarum","Lib. Arg. D.","grc","Libanius","tlg2200.tlg007","http://stephanus.tlg.uci.edu/Iris/Cite?2200:007:56577","4th c."
650,"Acta Xanthippae et Polyxenae (sub auctore Onesimo)","Act. Xanth.","grc","Acta Xanthippae et Polyxenae","tlg2248.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2248:001:21608","3rd c."
651,"De mensibus","Lydus Mens.","grc","Joannes Laurentius Lydus","tlg2580.tlg002","http://stephanus.tlg.uci.edu/Iris/Cite?2580:002:49143","6th c."
652,"Physiologus (redactio prima)","Physiol. I","grc","Physiologus","tlg2654.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2654:001:13323","4th c."
653,"Physiologus (redactio tertia quae vocatur pseudo-Basiliana)","Physiol. III","grc","Physiologus","tlg2654.tlg003","http://stephanus.tlg.uci.edu/Iris/Cite?2654:003:46907","4th c."
654,"Epistulae","Psell. Ep.","grc","Michael Psellus","tlg2702.tlg051","http://stephanus.tlg.uci.edu/Iris/Cite?2702:051:202011","11th c."
655,"Carmina","Philes Carm.","grc","Manuel Philes","tlg2718.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2718:001:216662","c. 1200-c. 1399"
656,"Rhodanthe et Dosicles","Prodr. Rhod.","grc","Theodorus Prodromus","tlg2721.tlg003","http://stephanus.tlg.uci.edu/Iris/Cite?2721:003","c. 1200-c. 1399"
657,"Epistulae","Isid. Pel. Ep.","grc","Isidorus Pelusiota","tlg2741.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2741:001:83378","5th c."
658,"Epistulae de interpretatione divinae scripturae","Isid. Pel. Ep. Interp.","grc","Isidorus Pelusiota","tlg2741.tlg003","http://stephanus.tlg.uci.edu/Iris/Cite?2741:003","5th c."
659,"Sermones","Nest. Serm.","grc","Nestorius","tlg2746.tlg013","http://stephanus.tlg.uci.edu/Iris/Cite?2746:013:6269","5th c."
660,"Apocriticus seu Μονογενής (Monogenḗs)","Macar. Apocr.","grc","Macarius","tlg2776.tlg001","http://stephanus.tlg.uci.edu/Iris/Cite?2776:001","c. 300-c. 499"
661,"Commentarius in Odas","Hsch. Hier. Comm. Od.","grc","Hesychius Hierosolymitanus","tlg2797.tlg012","http://stephanus.tlg.uci.edu/Iris/Cite?2797:012:7270","5th c."
662,"Sermones xli","Basil. Sel. Serm.","grc","Basilius Seleuciensis","tlg2800.tlg002","http://stephanus.tlg.uci.edu/Iris/Cite?2800:002:121393","5th c."
663,"De vita et miraculis sanctae Theclae libri ii [Sp.]","Basil. Sel. V. St. Thecl.","grc","Basilius Seleuciensis","tlg2800.tlg018","http://stephanus.tlg.uci.edu/Iris/Cite?2800:018","5th c."
